Vp,Vs,V - Vs
0.00209546016,0.00314357696,0.249923664
0.00432583072,0.00396190304,0.34994272
0.00732669696,0.00481096288,0.45004912
0.0105665152,0.00565697472,0.549957696
0.0136683552,0.00654735168,0.650604928
0.0162622816,0.0074722304,0.749608704
0.0182938528,0.0084491456,0.85061248
0.019712944,0.00945650496,0.950682176
0.0202256512,0.0099663328,1.00027744
0.0209024416,0.0110049752,1.10051736
0.0212121456,0.0120505072,1.19956304
0.0212627824,0.0131606352,1.30070272
0.0210565472,0.0142740752,1.403344
0.0206950016,0.0153781968,1.5040752
0.0202339776,0.0164579136,1.60085264
0.019668464,0.0176003152,1.70331936
0.019087048,0.0186900544,1.80131968
0.0184706576,0.019811112,1.90132848
0.0178014416,0.0209991696,2.0082776
0.0167338128,0.0230724848,2.19425344
0.0155649072,0.0253460768,2.39935712
0.014610264,0.0275330592,2.59790592
0.0137838976,0.029689936,2.79923552
0.0130803376,0.0318279904,3.00233152
0.0117625416,0.0367920704,3.50758912
0.0109245776,0.0417244544,4.01538912
0.0104190136,0.0463503904,4.49376544
0.0101927656,0.051350944,5.0026752
0.01077538,0.0610952576,5.99892672
0.0126745504,0.0715272064,7.02677312
0.0157954208,0.0814857216,7.97404672
0.0207063328,0.0931303296,9.00876416
0.0293361152,0.106133448,10.0371864
